id,location,survival_target,location_target,month_target,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,Upper Sacramento River,juv_rear,Upper-mid Sacramento River,9,3698,3290,1392,1542,3360,3410,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
1,Battle Creek,juv_rear,Upper-mid Sacramento River,9,3780,3594,1398,706,2604,3808,2462,740,278,156,78,96,48,4,8,12,6,6,6,8
2,Upper Sacramento River,juv_rear,Lower-mid Sacramento River,9,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
2,Battle Creek,juv_rear,Lower-mid Sacramento River,9,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
3,Upper Sacramento River,juv_rear,Lower Sacramento River,9,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
3,Battle Creek,juv_rear,Lower Sacramento River,9,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
4,Upper Sacramento River,juv_rear,Sutter Bypass,9,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
4,Battle Creek,juv_rear,Sutter Bypass,9,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
5,Upper Sacramento River,juv_rear,Yolo Bypass,9,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
5,Battle Creek,juv_rear,Yolo Bypass,9,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
6,Upper Sacramento River,juv_rear,Battle Creek,9,3698,3290,1392,1542,3360,3410,2566,1390,606,316,112,148,78,14,28,40,64,112,272,454
6,Battle Creek,juv_rear,Battle Creek,9,3780,3594,1402,832,2824,4162,2998,1048,328,186,106,138,70,8,16,22,16,12,16,22
7,Upper Sacramento River,juv_rear,Upper-mid Sacramento River,10,3698,3290,1392,1542,3364,3456,2658,1442,614,322,118,154,80,14,30,40,66,118,292,490
7,Battle Creek,juv_rear,Upper-mid Sacramento River,10,3780,3594,1398,706,2622,3844,2480,740,278,156,78,96,48,4,8,12,6,6,6,8
8,Upper Sacramento River,juv_rear,Lower-mid Sacramento River,10,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
8,Battle Creek,juv_rear,Lower-mid Sacramento River,10,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
9,Upper Sacramento River,juv_rear,Lower Sacramento River,10,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
9,Battle Creek,juv_rear,Lower Sacramento River,10,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
10,Upper Sacramento River,juv_rear,Sutter Bypass,10,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
10,Battle Creek,juv_rear,Sutter Bypass,10,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
11,Upper Sacramento River,juv_rear,Yolo Bypass,10,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
11,Battle Creek,juv_rear,Yolo Bypass,10,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
12,Upper Sacramento River,juv_rear,Battle Creek,10,3698,3290,1392,1542,3360,3410,2566,1392,606,318,112,148,78,14,28,40,64,112,272,454
12,Battle Creek,juv_rear,Battle Creek,10,3780,3594,1402,832,2824,4162,2998,1048,328,186,106,138,70,8,16,22,16,12,16,22
13,Upper Sacramento River,juv_rear,Upper-mid Sacramento River,11,3698,3290,1394,1756,3850,3964,3064,1694,772,412,146,192,102,16,34,48,74,128,316,532
13,Battle Creek,juv_rear,Upper-mid Sacramento River,11,3780,3594,1400,800,2848,4194,2874,932,308,178,94,120,58,6,12,16,10,8,12,14
14,Upper Sacramento River,juv_rear,Lower-mid Sacramento River,11,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
14,Battle Creek,juv_rear,Lower-mid Sacramento River,11,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
15,Upper Sacramento River,juv_rear,Lower Sacramento River,11,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
15,Battle Creek,juv_rear,Lower Sacramento River,11,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
16,Upper Sacramento River,juv_rear,Sutter Bypass,11,3698,3290,1392,1558,3390,3446,2614,1416,610,322,112,150,78,14,28,40,64,112,272,454
16,Battle Creek,juv_rear,Sutter Bypass,11,3780,3594,1398,708,2486,3580,2362,752,278,156,78,96,48,4,8,12,6,6,6,8
17,Upper Sacramento River,juv_rear,Yolo Bypass,11,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
17,Battle Creek,juv_rear,Yolo Bypass,11,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
18,Upper Sacramento River,juv_rear,Battle Creek,11,3698,3290,1392,1542,3360,3410,2566,1392,606,318,112,148,78,14,28,40,64,112,272,454
18,Battle Creek,juv_rear,Battle Creek,11,3780,3594,1400,718,2512,3618,2388,768,300,170,88,118,56,6,12,16,12,8,14,14
19,Upper Sacramento River,juv_rear,Upper-mid Sacramento River,12,3698,3290,1392,1552,3382,3428,2582,1432,668,352.00000000000006,128,176,94,14,32,44,72,126,286,469.99999999999994
19,Battle Creek,juv_rear,Upper-mid Sacramento River,12,3780,3594,1398,706,2496,3594,2358,752,302,174,90,118,58,6,12,16,12,8,12,14
20,Upper Sacramento River,juv_rear,Lower-mid Sacramento River,12,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
20,Battle Creek,juv_rear,Lower-mid Sacramento River,12,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
21,Upper Sacramento River,juv_rear,Lower Sacramento River,12,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
21,Battle Creek,juv_rear,Lower Sacramento River,12,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
22,Upper Sacramento River,juv_rear,Sutter Bypass,12,3698,3290,1392,1560,3404,3456,2602,1412,614,322,112,152,78,14,28,40,64,112,272,454
22,Battle Creek,juv_rear,Sutter Bypass,12,3780,3594,1398,710,2510,3616,2374,746,278,156,78,96,48,4,8,12,6,6,6,8
23,Upper Sacramento River,juv_rear,Yolo Bypass,12,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
23,Battle Creek,juv_rear,Yolo Bypass,12,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
24,Upper Sacramento River,juv_rear,Battle Creek,12,3698,3290,1392,1542,3360,3410,2566,1392,606,316,112,148,78,14,28,40,64,112,272,454
24,Battle Creek,juv_rear,Battle Creek,12,3780,3594,1398,710,2494,3584,2358,750,286,162,84,106,50,6,10,14,8,6,8,12
25,Upper Sacramento River,juv_rear,Upper-mid Sacramento River,1,3698,3290,1392,1558,3388,3434,2590,1450,694,364,130,182,96,14,32,42,68,118,278,463.99999999999994
25,Battle Creek,juv_rear,Upper-mid Sacramento River,1,3780,3594,1400,708,2492,3584,2358,764,314,180,94,124,60,6,14,16,12,8,12,14
26,Upper Sacramento River,juv_rear,Lower-mid Sacramento River,1,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
26,Battle Creek,juv_rear,Lower-mid Sacramento River,1,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
27,Upper Sacramento River,juv_rear,Lower Sacramento River,1,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
27,Battle Creek,juv_rear,Lower Sacramento River,1,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
28,Upper Sacramento River,juv_rear,Sutter Bypass,1,3698,3290,1392,1562,3418,3478,2616,1416,616,322,114,152,78,14,30,42,70,126,282,466
28,Battle Creek,juv_rear,Sutter Bypass,1,3780,3594,1398,712,2528,3648,2394,750,278,156,78,96,48,4,8,14,8,6,8,12
29,Upper Sacramento River,juv_rear,Yolo Bypass,1,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
29,Battle Creek,juv_rear,Yolo Bypass,1,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
30,Upper Sacramento River,juv_rear,Battle Creek,1,3698,3290,1392,1542,3360,3410,2566,1392,606,316,112,148,78,14,28,40,64,112,272,454
30,Battle Creek,juv_rear,Battle Creek,1,3780,3594,1398,706,2486,3572,2344,740,280,158,80,102,50,6,8,14,6,6,6,8
31,Upper Sacramento River,juv_rear,Upper-mid Sacramento River,2,3698,3290,1392,1556,3384,3428,2590,1428,648,342,130,182,96,14,32,42,68,118,276,462
31,Battle Creek,juv_rear,Upper-mid Sacramento River,2,3780,3594,1400,708,2488,3580,2356,752,292,168,92,120,58,6,12,16,10,8,12,14
32,Upper Sacramento River,juv_rear,Lower-mid Sacramento River,2,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
32,Battle Creek,juv_rear,Lower-mid Sacramento River,2,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
33,Upper Sacramento River,juv_rear,Lower Sacramento River,2,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
33,Battle Creek,juv_rear,Lower Sacramento River,2,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
34,Upper Sacramento River,juv_rear,Sutter Bypass,2,3698,3290,1392,1568,3434,3494,2628,1448,680,356,120.00000000000001,160,86,14,30,42,72,126,288,472.00000000000006
34,Battle Creek,juv_rear,Sutter Bypass,2,3780,3594,1398,714,2540,3666,2404,766,302,170,82,106,50,6,10,14,10,6,12,14
35,Upper Sacramento River,juv_rear,Yolo Bypass,2,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
35,Battle Creek,juv_rear,Yolo Bypass,2,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
36,Upper Sacramento River,juv_rear,Battle Creek,2,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
36,Battle Creek,juv_rear,Battle Creek,2,3780,3594,1398,704,2476,3560,2336,736,278,156,78,98,48,4,8,14,6,6,6,8
37,Upper Sacramento River,juv_rear,Upper-mid Sacramento River,3,3698,3290,1392,1546,3370,3414,2570,1400,614,322,122.00000000000001,160,86,14,30,42,66,116,274,459.99999999999994
37,Battle Creek,juv_rear,Upper-mid Sacramento River,3,3780,3594,1398,706,2478,3560,2338,740,278,162,86,106,50,6,8,14,6,6,6,8
38,Upper Sacramento River,juv_rear,Lower-mid Sacramento River,3,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
38,Battle Creek,juv_rear,Lower-mid Sacramento River,3,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
39,Upper Sacramento River,juv_rear,Lower Sacramento River,3,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
39,Battle Creek,juv_rear,Lower Sacramento River,3,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
40,Upper Sacramento River,juv_rear,Sutter Bypass,3,3698,3290,1392,1558,3400,3444,2586,1404,620,322,116,154,80,14,30,42,68,120.00000000000001,280,463.99999999999994
40,Battle Creek,juv_rear,Sutter Bypass,3,3780,3594,1398,708,2504,3604,2360,742,278,158,78,98,48,4,8,14,6,6,6,8
41,Upper Sacramento River,juv_rear,Yolo Bypass,3,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
41,Battle Creek,juv_rear,Yolo Bypass,3,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
42,Upper Sacramento River,juv_rear,Battle Creek,3,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
42,Battle Creek,juv_rear,Battle Creek,3,3780,3594,1398,702,2474,3556,2330,734,278,156,78,98,48,4,8,12,6,6,6,8
43,Upper Sacramento River,juv_rear,Upper-mid Sacramento River,4,3698,3290,1392,1544,3362,3410,2570,1402,614,322,120.00000000000001,160,86,14,30,42,66,116,274,459.99999999999994
43,Battle Creek,juv_rear,Upper-mid Sacramento River,4,3780,3594,1398,704,2474,3560,2338,740,280,162,86,108,50,6,8,14,6,6,6,8
44,Upper Sacramento River,juv_rear,Lower-mid Sacramento River,4,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
